               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,                 nan,                 nan,            0.011066,          0.00016441,            0.020833,          8.8534e-05,          3.3173e-05,                 nan,                 nan,              0.5421,            0.070029,           0.0033301,           0.0033301
                   1,                 nan,                 nan,            0.012719,                   0,                   0,                   0,                   0,            0.099628,            0.031945,            0.036245,            0.039589,           0.0062237,           0.0062237
                   2,                 nan,                 nan,            0.014359,                   0,                   0,                   0,                   0,                 nan,                 nan,              14.708,           0.0087094,           0.0086772,           0.0086772
                   3,                 nan,                 nan,            0.012817,           0.0039517,             0.23287,           0.0031366,          0.00077117,             0.11083,            0.031201,             0.95346,             0.00802,             0.00802,             0.00802
                   4,                 nan,                 nan,            0.010341,          0.00027891,            0.025523,          0.00015259,          3.8067e-05,                 nan,                 nan,            0.079972,             0.00802,             0.00802,             0.00802
                   5,            0.027848,            0.025639,            0.011059,          0.00059399,             0.23947,          0.00039537,          9.6564e-05,              0.1044,             0.16102,            0.043998,             0.00736,             0.00736,             0.00736
                   6,            0.027825,            0.034715,             0.01098,           0.0002187,            0.023488,            0.000129,          2.6473e-05,             0.10353,             0.06385,            0.036773,              0.0067,              0.0067,              0.0067
                   7,            0.028257,            0.049056,           0.0097432,          0.00016174,            0.016455,          8.9412e-05,          2.0795e-05,             0.10162,            0.074026,            0.028932,             0.00604,             0.00604,             0.00604
                   8,            0.027636,            0.034589,           0.0095233,          0.00053971,            0.040892,          0.00031927,          9.0904e-05,            0.097232,            0.036076,            0.032694,             0.00538,             0.00538,             0.00538
                   9,            0.027343,            0.061254,           0.0094637,          0.00010745,            0.011922,          5.5261e-05,          9.8744e-06,            0.096723,            0.088007,             0.03362,             0.00472,             0.00472,             0.00472
                  10,            0.027088,            0.066408,           0.0090433,          0.00043295,            0.036626,          0.00024292,          5.8812e-05,            0.099059,            0.074743,            0.054723,             0.00406,             0.00406,             0.00406
                  11,            0.025934,            0.048007,           0.0087379,          0.00071074,             0.32083,          0.00048646,          0.00014775,            0.095991,            0.046431,            0.041951,              0.0034,              0.0034,              0.0034
                  12,            0.026438,            0.070656,           0.0087235,          0.00038368,             0.03785,          0.00020908,          6.1954e-05,            0.091595,            0.099239,             0.03446,             0.00274,             0.00274,             0.00274
                  13,            0.025963,            0.080642,           0.0085819,          0.00049147,            0.034032,          0.00028737,          9.6781e-05,            0.091455,             0.14721,            0.032213,             0.00208,             0.00208,             0.00208
                  14,            0.024667,            0.087085,           0.0081305,          0.00030993,            0.040898,          0.00054393,          0.00015554,            0.087154,             0.15491,             0.03173,             0.00142,             0.00142,             0.00142
